                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2348,                 5.4474,                 1.0391,                 1.4251,                 11.049,                0.98208,                0.00415,                0.18449,                0.00427,                0.00241,                 1.0931,                 5.8867,                0.87746,                 1.1368,                 13.151,                0.83686,              0.0001315,              0.0001315,              0.0001315
                      2,                 1.2232,                 3.8918,                0.98398,                 1.3787,                 9.2521,                0.93815,                0.00305,                0.18109,                0.02704,                0.01981,                 1.0315,                 5.7379,                0.90384,                 1.0345,                 12.864,                0.83495,             0.00026737,             0.00026737,             0.00026737
                      3,                 1.1656,                 3.1554,                0.98405,                 1.3537,                 8.5271,                0.93716,                0.00486,                0.29201,                0.09412,                0.07101,                 1.0575,                 5.3178,                0.92214,                 1.0724,                 12.181,                0.84478,             0.00040235,             0.00040235,             0.00040235
                      4,                 1.1491,                 2.7345,                 0.9956,                 1.3408,                 7.7273,                0.94671,                0.95919,                 0.0489,                0.10901,                0.07588,                 1.0711,                 4.5786,                0.94197,                 1.1531,                 11.081,                0.90949,             0.00052079,             0.00052079,             0.00052079
                      5,                 1.0888,                 2.4414,                0.96678,                 1.2943,                 6.7944,                0.93998,                0.99019,                0.02717,                0.21058,                 0.1394,                 1.0568,                 3.8603,                0.97451,                 1.1145,                 9.5335,                0.91977,             0.00052079,             0.00052079,             0.00052079
                      6,                 1.1185,                 2.3403,                0.99132,                 1.2792,                 6.4543,                0.95057,                0.89904,                0.11363,                0.22174,                 0.1577,                 1.1111,                 2.9111,                0.98617,                 1.1546,                 8.1198,                0.92565,             0.00051906,             0.00051906,             0.00051906
                      7,                 1.0971,                  2.131,                0.98385,                 1.3175,                 5.7439,                0.96037,                0.84801,                 0.1887,                0.27849,                0.19994,                 1.0058,                 2.3842,                0.95806,                 1.1369,                 6.9695,                0.94032,             0.00051732,             0.00051732,             0.00051732
                      8,                 1.0396,                 1.9617,                0.95243,                 1.2466,                 5.2008,                0.93367,                0.81381,                0.22104,                0.29868,                0.21516,                 1.0465,                 2.1026,                0.97397,                 1.1624,                 5.9411,                0.95052,             0.00051559,             0.00051559,             0.00051559
                      9,                 1.0379,                 1.7946,                0.96772,                 1.2625,                 4.6502,                0.94761,                0.68456,                 0.2686,                0.28703,                0.20374,                 1.0511,                 1.9881,                0.97283,                  1.165,                 5.6273,                0.95883,             0.00051385,             0.00051385,             0.00051385
                     10,                  1.013,                 1.6059,                0.96947,                 1.2209,                 4.2023,                0.96168,                0.63798,                0.28298,                0.34995,                0.24206,                0.99869,                 1.8115,                0.97655,                  1.113,                 4.9512,                 0.9504,             0.00051211,             0.00051211,             0.00051211
                     11,                 0.9909,                 1.5408,                0.95321,                 1.1862,                 3.8224,                0.93965,                0.73782,                0.28123,                0.36196,                0.25198,                0.96479,                 1.6384,                0.94142,                 1.1198,                  4.571,                0.94366,             0.00051038,             0.00051038,             0.00051038
                     12,                  1.019,                 1.4787,                0.95745,                 1.2079,                  3.432,                0.94477,                0.64057,                0.31967,                0.39259,                0.27978,                0.96744,                 1.5229,                0.92836,                 1.0559,                 4.0142,                0.92571,             0.00050864,             0.00050864,             0.00050864
                     13,                0.97553,                 1.4072,                0.93862,                 1.1841,                 3.1427,                0.93038,                0.37761,                0.44499,                0.38979,                 0.2737,                0.97017,                 1.4923,                0.93541,                 1.0708,                 3.6344,                0.91682,             0.00050691,             0.00050691,             0.00050691
                     14,                0.97246,                 1.3355,                0.95032,                  1.155,                 2.9663,                0.93517,                0.64716,                0.40809,                0.41437,                0.30328,                0.92038,                 1.4234,                0.92405,                 1.0451,                 3.4868,                0.92715,             0.00050517,             0.00050517,             0.00050517
                     15,                0.97764,                 1.3011,                0.92854,                 1.1818,                 2.7646,                0.91817,                0.78688,                0.33449,                0.39566,                0.26928,                 0.9609,                 1.4227,                0.93633,                 1.1095,                 3.2595,                0.93803,             0.00050343,             0.00050343,             0.00050343
                     16,                0.93838,                 1.1938,                0.93039,                 1.1258,                 2.5318,                0.91767,                0.66395,                 0.3425,                0.39751,                0.27649,                0.97197,                 1.2994,                0.93292,                 1.0691,                 2.9864,                 0.9266,              0.0005017,              0.0005017,              0.0005017
