                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.92112,                0.92403,                0.93056,                 1.1053,                 1.6394,                 0.9263,                0.51352,                0.64758,                0.64095,                0.49122,                 0.9016,                0.95778,                0.92089,                0.99237,                 1.7492,                0.90962,             0.00048781,             0.00048781,             0.00048781
                     25,                0.88341,                0.87733,                0.90861,                 1.0736,                 1.5476,                 0.9111,                0.68431,                0.57618,                0.59681,                0.44282,                0.91985,                0.92298,                0.92153,                 1.0169,                 1.7067,                0.91665,             0.00048608,             0.00048608,             0.00048608
                     26,                0.90511,                0.87163,                0.91199,                 1.0989,                 1.5374,                 0.9124,                0.52381,                0.50616,                0.53727,                0.39494,                0.89521,                 0.9752,                0.91679,                 1.0007,                 1.6582,                0.91001,             0.00048434,             0.00048434,             0.00048434
                     27,                  0.907,                0.85901,                0.92631,                 1.0663,                 1.4795,                0.92007,                0.82163,                0.47675,                0.61007,                0.45559,                0.92896,                0.90305,                0.91344,                 1.0357,                 1.5672,                 0.9172,              0.0004826,              0.0004826,              0.0004826
                     28,                0.89367,                0.85039,                0.92827,                  1.097,                 1.4323,                0.92484,                0.52107,                0.58168,                0.58534,                0.43869,                0.86171,                0.87402,                0.91236,                 0.9542,                 1.4654,                0.90381,             0.00048087,             0.00048087,             0.00048087
                     29,                0.90196,                0.81717,                 0.9235,                 1.0918,                  1.344,                0.92325,                0.43067,                0.62259,                0.55262,                0.41334,                0.87622,                0.86649,                0.90942,                0.98028,                 1.4817,                0.90393,             0.00047913,             0.00047913,             0.00047913
                     30,                0.88707,                0.77961,                0.91753,                 1.0608,                 1.3256,                0.91278,                0.78108,                0.48449,                0.58951,                0.44109,                 0.9132,                0.85223,                0.91523,                 1.0452,                 1.4112,                 0.9132,              0.0004774,              0.0004774,              0.0004774
                     31,                0.89466,                0.74016,                0.91555,                 1.0669,                 1.2255,                0.92238,                 0.7524,                0.50661,                0.63247,                0.47314,                0.86483,                0.76862,                0.90407,                0.99026,                 1.2748,                0.89892,             0.00047566,             0.00047566,             0.00047566
                     32,                0.89005,                0.76959,                0.93164,                 1.0802,                 1.2383,                0.92799,                0.50649,                0.75655,                0.64875,                 0.4875,                0.90557,                0.78891,                0.91089,                 1.0048,                 1.3008,                0.90837,             0.00047393,             0.00047393,             0.00047393
                     33,                0.86304,                0.71323,                0.90256,                 1.0785,                  1.142,                0.90544,                0.77323,                0.48654,                0.58149,                0.44817,                0.89237,                0.86089,                0.91421,                0.97252,                 1.3167,                0.90904,             0.00047219,             0.00047219,             0.00047219
                     34,                0.88352,                0.71469,                0.91193,                 1.0943,                 1.1573,                0.90994,                0.73995,                0.63564,                0.67956,                0.49987,                0.88497,                0.76508,                0.90827,                0.99405,                 1.2005,                0.89793,             0.00047045,             0.00047045,             0.00047045
                     35,                0.87383,                0.71811,                 0.9089,                 1.0758,                 1.2055,                0.91125,                0.59031,                0.58416,                0.63746,                 0.4683,                0.90138,                 0.8031,                0.90805,                 1.0018,                 1.1851,                0.90128,             0.00046872,             0.00046872,             0.00046872
                     36,                0.85968,                0.70126,                0.90681,                 1.0362,                 1.0795,                0.90413,                0.71195,                  0.544,                0.66533,                0.48733,                0.90269,                0.75828,                0.91143,                0.99727,                 1.1596,                 0.9056,             0.00046698,             0.00046698,             0.00046698
                     37,                0.85719,                0.68668,                0.92001,                 1.0324,                 1.0856,                0.91451,                0.63841,                0.64925,                0.67168,                 0.5213,                0.88433,                0.70654,                0.91132,                0.99047,                 1.0869,                0.89395,             0.00046525,             0.00046525,             0.00046525
                     38,                0.86722,                0.70734,                0.91136,                 1.0414,                 1.0716,                0.90048,                0.54334,                 0.7289,                0.69422,                0.52352,                0.88645,                0.76402,                 0.9042,                0.98984,                 1.1149,                0.89903,             0.00046351,             0.00046351,             0.00046351
                     39,                0.87223,                 0.6853,                0.90701,                 1.0585,                 1.0823,                0.90445,                0.78861,                 0.5668,                0.70744,                0.52995,                0.87564,                0.75724,                0.91298,                0.95853,                 1.0846,                0.89418,             0.00046178,             0.00046178,             0.00046178
                     40,                 0.8798,                0.67796,                0.90667,                 1.0772,                 1.0824,                0.90487,                0.75366,                0.55858,                0.68813,                0.52339,                0.89324,                0.67918,                 0.9121,                0.94348,                 1.0135,                0.89239,             0.00046004,             0.00046004,             0.00046004
                     41,                0.86112,                0.64272,                0.90044,                 1.0484,                 1.0085,                  0.897,                0.59528,                0.73575,                0.70466,                0.50613,                 0.9017,                 0.7047,                0.91086,                 1.0071,                  1.056,                 0.8991,              0.0004583,              0.0004583,              0.0004583
                     42,                0.85274,                0.66843,                 0.9062,                 1.0634,                  1.031,                0.91277,                0.55101,                 0.7494,                0.75022,                0.54495,                0.89827,                0.69407,                0.90676,                0.99474,                  1.019,                0.89734,             0.00045657,             0.00045657,             0.00045657
                     43,                 0.8448,                0.66291,                0.90231,                 1.0407,                 1.0163,                  0.904,                0.68825,                0.67124,                 0.7358,                0.54115,                0.89266,                0.69508,                0.90142,                0.99017,                 1.0138,                0.89654,             0.00045483,             0.00045483,             0.00045483
                     44,                0.85111,                0.65338,                 0.9138,                 1.0335,                 1.0025,                0.91391,                0.82638,                0.60016,                0.72172,                0.56431,                0.86389,                0.70664,                0.89619,                0.93864,                  1.017,                0.88369,              0.0004531,              0.0004531,              0.0004531
                     45,                0.83388,                0.61096,                0.89581,                 1.0272,                0.92221,                0.89455,                0.65389,                0.64684,                0.70257,                0.52683,                0.88742,                 0.7696,                0.90733,                0.98334,                 1.1025,                 0.8957,             0.00045136,             0.00045136,             0.00045136
                     46,                0.83029,                0.62917,                0.88837,                  1.019,                0.93812,                0.88952,                0.70344,                0.65554,                0.74436,                0.55087,                0.87932,                0.66174,                0.89867,                  0.976,                0.90125,                0.88818,             0.00044962,             0.00044962,             0.00044962
                     47,                0.82244,                 0.6056,                0.89458,                 1.0084,                0.88419,                0.89478,                0.76115,                0.61146,                 0.7415,                0.55266,                0.89327,                0.68399,                0.90387,                0.98879,                0.95338,                0.89687,             0.00044789,             0.00044789,             0.00044789
                     48,                0.84004,                 0.6166,                0.91474,                  1.006,                0.89216,                0.91114,                0.75567,                0.62184,                 0.7251,                0.55277,                0.90683,                0.65875,                0.90856,                 1.0066,                 0.8933,                0.89665,             0.00044615,             0.00044615,             0.00044615
                     49,                0.84849,                0.62288,                0.89818,                 1.0283,                0.89316,                0.89482,                0.80066,                0.60931,                0.71501,                0.53871,                0.88556,                0.66755,                0.90385,                0.96387,                0.91798,                 0.8889,             0.00044442,             0.00044442,             0.00044442
                     50,                0.84788,                0.62343,                0.89731,                 1.0276,                0.90819,                0.89397,                0.59253,                0.68701,                0.70108,                0.51404,                0.88377,                0.70442,                0.90538,                0.96655,                 1.0094,                 0.8883,             0.00044268,             0.00044268,             0.00044268
                     51,                0.85403,                0.62973,                 0.9016,                 1.0349,                 0.9143,                0.90049,                0.65142,                0.72818,                0.76712,                 0.5751,                0.87554,                0.61608,                0.90206,                 0.9837,                0.89444,                 0.9032,             0.00044095,             0.00044095,             0.00044095
