                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                 1.1463,                0.68424,                 1.0486,                 1.3731,                0.78785,                 1.0559,                0.79355,                 0.7421,                0.77348,                0.57369,                0.92133,                0.57377,                0.93741,                 1.0337,                0.57582,                0.93542,                0.00934,                0.00934,                0.00934
                     23,                 1.1664,                0.69355,                 1.0534,                 1.3901,                0.78431,                 1.0569,                0.81996,                0.74719,                0.80847,                0.61086,                0.90019,                0.53131,                 0.9335,                 1.0358,                0.50063,                0.93467,               0.009307,               0.009307,               0.009307
                     24,                 1.1381,                0.67442,                 1.0409,                 1.3644,                 0.7831,                 1.0458,                0.82355,                0.71735,                0.81072,                0.60785,                0.93528,                0.55523,                0.95014,                 1.0412,                0.54836,                0.94504,               0.009274,               0.009274,               0.009274
                     25,                 1.1484,                0.67411,                 1.0496,                 1.3661,                0.75482,                 1.0591,                0.80218,                0.71084,                0.79755,                0.56284,                0.96623,                0.58108,                0.95587,                 1.0835,                0.55618,                0.95952,               0.009241,               0.009241,               0.009241
                     26,                 1.1274,                0.66151,                 1.0466,                 1.3498,                0.74112,                 1.0547,                0.91767,                0.75656,                0.86698,                 0.6176,                0.95037,                0.55815,                 0.9409,                 1.0507,                0.51829,                0.94082,               0.009208,               0.009208,               0.009208
                     27,                 1.1217,                0.65595,                 1.0385,                 1.3325,                0.73398,                 1.0497,                 0.8804,                0.76399,                0.86043,                0.62808,                0.90225,                0.52076,                0.94005,                 1.0134,                0.51527,                0.93195,               0.009175,               0.009175,               0.009175
                     28,                 1.1256,                0.65021,                 1.0408,                 1.3465,                0.73614,                  1.052,                0.85141,                 0.7139,                0.84708,                0.59897,                0.93464,                0.51771,                 0.9418,                 1.0648,                0.48978,                0.95223,               0.009142,               0.009142,               0.009142
                     29,                 1.1237,                0.64659,                 1.0436,                 1.3439,                0.73013,                 1.0495,                0.79155,                0.77406,                0.78444,                0.57942,                0.93205,                0.55519,                0.94323,                 1.0364,                0.53861,                0.94243,               0.009109,               0.009109,               0.009109
                     30,                 1.1197,                0.64074,                 1.0393,                 1.3299,                0.71255,                 1.0479,                0.86054,                0.76891,                0.84016,                0.61992,                 1.0023,                 0.5316,                0.97386,                  1.118,                0.47713,                0.97323,               0.009076,               0.009076,               0.009076
                     31,                  1.108,                0.62476,                 1.0361,                 1.3177,                0.67374,                 1.0456,                0.82756,                0.76016,                0.78791,                0.59534,                0.92734,                0.53164,                0.93633,                 1.0382,                0.51912,                0.93772,               0.009043,               0.009043,               0.009043
                     32,                 1.1063,                0.63069,                 1.0269,                 1.3216,                0.70556,                 1.0347,                0.82316,                0.74992,                0.82066,                0.59488,                0.92202,                0.49146,                0.93343,                  1.035,                0.43851,                0.92739,                0.00901,                0.00901,                0.00901
                     33,                 1.1083,                 0.6243,                 1.0393,                 1.3173,                0.69599,                 1.0446,                0.86999,                0.69634,                0.82616,                0.60824,                0.94841,                0.51485,                0.95608,                 1.0474,                0.46928,                0.94892,               0.008977,               0.008977,               0.008977
                     34,                 1.0903,                0.62211,                 1.0244,                 1.3023,                0.67273,                  1.036,                0.81445,                0.88838,                0.93784,                0.66876,                0.91671,                0.49137,                0.93857,                 1.0511,                 0.4163,                0.94169,               0.008944,               0.008944,               0.008944
                     35,                  1.099,                 0.6217,                  1.022,                 1.3151,                0.66817,                 1.0293,                0.84867,                0.83789,                0.89768,                0.64702,                  0.914,                0.51702,                0.94293,                 1.0252,                0.44135,                0.94165,               0.008911,               0.008911,               0.008911
                     36,                 1.0926,                 0.6201,                 1.0299,                  1.296,                0.66605,                 1.0384,                0.88241,                0.74677,                0.82998,                0.61255,                0.93105,                0.51648,                0.95033,                 1.0577,                 0.4563,                0.94552,               0.008878,               0.008878,               0.008878
                     37,                 1.0841,                0.61028,                 1.0283,                 1.2934,                0.65253,                 1.0331,                0.81766,                0.81294,                0.83795,                0.63291,                0.91483,                0.47566,                 0.9328,                 1.0349,                0.42361,                0.93015,               0.008845,               0.008845,               0.008845
                     38,                 1.0843,                0.59362,                 1.0224,                 1.2968,                0.64393,                 1.0259,                0.87361,                 0.7649,                0.83905,                0.62448,                0.92852,                0.49955,                0.95631,                 1.0299,                 0.4531,                0.94263,               0.008812,               0.008812,               0.008812
                     39,                 1.0883,                0.59772,                 1.0222,                 1.2984,                0.65537,                 1.0298,                0.84875,                0.77325,                0.86899,                0.65139,                0.92101,                0.49796,                0.94199,                 1.0277,                0.47212,                0.94014,               0.008779,               0.008779,               0.008779
