Versión,Mejor Época,Fitness,Precisión,Recall,mAP@0.5,mAP@0.5:0.95,F1-score
YOLOv8,250,0.765893,0.89644,0.93374,0.95852,0.74449,0.914709903506759
YOLOv10,256,0.773553,0.84702,0.92771,0.95664,0.75321,0.8855306713697295
YOLOv11,229,0.7779200000000001,0.88362,0.94837,0.97502,0.75602,0.9148507354297786
