timestamp,latitud,longitud,velocidad,clase,probabilidad,sonido,tiempoInferencia
1739886668976,-17.4218159,-66.1547364,0.16930772,ceda-el-paso,0.7636719,1,644
1739886700123,-17.4197426,-66.1548067,32.093235,pare,0.75634766,1,637
1739886700732,-17.4197426,-66.1548067,32.093235,pare,0.609375,0,657
1739886758178,-17.4148781,-66.1552502,31.006195,prohibido-girar-derecha,0.31567383,0,605
1739886759483,-17.4148781,-66.1552502,31.006195,prohibido-girar-derecha,0.8696289,1,608
1739886760053,-17.41468,-66.1553286,28.500664,prohibido-girar-derecha,0.8310547,1,614
1739886760058,-17.41468,-66.1553286,28.500664,zona-escolar,0.3720703,0,614
1739886771881,-17.4139843,-66.1554526,32.88889,prohibido-girar-derecha,0.85009766,1,608
1739886773713,-17.4137861,-66.1554961,27.229597,pare,0.72509766,1,626
1739886774323,-17.4137861,-66.1554961,27.229597,pare,0.9213867,1,607
1739886774957,-17.4136444,-66.1555493,19.058414,pare,0.8847656,1,628
1739886775593,-17.4136444,-66.1555493,19.058414,pare,0.95214844,1,630
1739886776211,-17.4136444,-66.1555493,19.058414,pare,0.93652344,1,613
1739886776827,-17.4136444,-66.1555493,19.058414,pare,0.9091797,1,608
1739886777443,-17.4136444,-66.1555493,19.058414,pare,0.9580078,1,612
1739886778069,-17.4135488,-66.1556047,13.978584,pare,0.9658203,1,621
1739886778689,-17.4135488,-66.1556047,13.978584,pare,0.9584961,1,614
1739886779299,-17.4135488,-66.1556047,13.978584,pare,0.92529297,1,605
1739886896984,-17.4085806,-66.1481073,0.36929363,pare,0.5214844,0,615
1739886973331,-17.406687,-66.1453574,3.420239,pare,0.33447266,0,632
1739886973945,-17.406687,-66.1453574,3.420239,pare,0.46484375,0,608
1739886975813,-17.406687,-66.1453574,3.420239,pare,0.45336914,0,627
1739886977069,-17.4066856,-66.1453441,3.2855566,pare,0.32421875,0,615
1739886978958,-17.4066741,-66.1453389,1.5827162,pare,0.55810547,0,622
1739886980813,-17.4066741,-66.1453389,1.5827162,pare,0.31152344,0,613
1739886981432,-17.4066741,-66.1453389,1.5827162,pare,0.45898438,0,614
1739887037486,-17.4015714,-66.146763,38.30623,zona-escolar,0.30908203,0,625
1739887038093,-17.4014257,-66.1465018,37.891163,zona-escolar,0.40551758,0,602
1739887038782,-17.4014257,-66.1465018,37.891163,zona-escolar,0.8334961,1,611
1739887039328,-17.4014257,-66.1465018,37.891163,zona-escolar,0.8588867,1,602
1739887039949,-17.4014257,-66.1465018,37.891163,zona-escolar,0.83740234,1,615
1739887040556,-17.4014257,-66.1465018,37.891163,zona-escolar,0.93652344,1,601
1739887041176,-17.4013364,-66.1462468,30.837198,zona-escolar,0.9223633,1,615
1739887041810,-17.4013364,-66.1462468,30.837198,zona-escolar,0.8408203,1,630
1739887041812,-17.4013364,-66.1462468,30.837198,zona-escolar,0.31396484,0,630
1739887042429,-17.4013364,-66.1462468,30.837198,zona-escolar,0.3701172,0,614
1739887043049,-17.4013364,-66.1462468,30.837198,zona-escolar,0.84277344,1,614
1739887043679,-17.4013364,-66.1462468,30.837198,zona-escolar,0.6386719,0,623
1739887099867,-17.4003304,-66.1407002,60.808754,prohibido-girar-izquierda,0.8129883,1,611
1739887100451,-17.4003304,-66.1407002,60.808754,prohibido-girar-izquierda,0.5888672,0,622
1739887101069,-17.4002676,-66.1402526,56.409206,prohibido-girar-izquierda,0.47460938,0,610
1739887101689,-17.4002676,-66.1402526,56.409206,prohibido-girar-izquierda,0.55078125,0,617
1739887102301,-17.4002676,-66.1402526,56.409206,zona-escolar,0.5390625,0,604
1739887231198,-17.3911594,-66.138637,21.326578,ceda-el-paso,0.79052734,1,617
1739887264238,-17.3898679,-66.1399787,40.03518,pare,0.5756836,0,600
1739887266116,-17.3898679,-66.1399787,40.03518,pare,0.59277344,0,618
1739887266739,-17.3898679,-66.1399787,40.03518,pare,0.5410156,0,618
1739887267372,-17.389445,-66.1401741,47.344616,pare,0.59277344,0,626
1739887292297,-17.3862798,-66.1410277,64.45552,prohibido-girar-izquierda,0.6513672,0,637
1739887292915,-17.3862798,-66.1410277,64.45552,prohibido-girar-izquierda,0.52734375,0,613
1739887293586,-17.3862798,-66.1410277,64.45552,prohibido-girar-izquierda,0.8408203,1,623
1739887329081,-17.3815536,-66.1419549,35.398132,pare,0.9355469,1,612
1739887330288,-17.3815536,-66.1419549,35.398132,pare,0.97265625,1,631
1739887331518,-17.3815536,-66.1419549,35.398132,prohibido-girar-izquierda,0.38500977,0,601
1739887334681,-17.3813366,-66.1419094,11.161515,paso-peatonal,0.4921875,0,623
1739887335284,-17.3813247,-66.1419108,0.9586777,paso-peatonal,0.7548828,1,611
1739887336537,-17.3813247,-66.1419108,0.9586777,paso-peatonal,0.6826172,0,624
1739887345872,-17.3813622,-66.1419351,0.44327867,paso-peatonal,0.6826172,0,642
1739887347174,-17.3813569,-66.1419329,0.85379225,paso-peatonal,0.46484375,0,635
1739887352412,-17.381407,-66.1419073,0.28171408,paso-peatonal,0.77197266,1,629
1739887362340,-17.3806533,-66.1420247,32.883385,prohibido-girar-izquierda,0.6425781,0,623
1739887363003,-17.3802498,-66.1420762,40.853123,prohibido-girar-izquierda,0.921875,1,615
1739887363583,-17.3802498,-66.1420762,40.853123,pare,0.5097656,0,617
1739887391620,-17.3775107,-66.1422268,22.42802,prohibido-girar-izquierda,0.7890625,1,606
1739887392206,-17.3773936,-66.1422957,17.557827,prohibido-girar-izquierda,0.3684082,0,616
