timestamp,latitud,longitud,velocidad,clase,probabilidad,sonido,tiempoInferencia
1739886316931,-17.4313864,-66.1591152,1.1564995,paso-peatonal,0.3310547,0,553
1739886318577,-17.4313864,-66.1591152,1.1564995,paso-peatonal,0.38867188,0,545
1739886372588,-17.429637,-66.1588397,24.388676,zona-escolar,0.33447266,0,536
1739886373363,-17.4294612,-66.1588418,19.406992,zona-escolar,0.75341797,1,538
1739886373675,-17.4294612,-66.1588418,19.406992,zona-escolar,0.73095703,1,538
1739886374257,-17.4294612,-66.1588418,19.406992,zona-escolar,0.47460938,0,578
1739886375352,-17.4294612,-66.1588418,19.406992,zona-escolar,0.3942871,0,533
1739886375895,-17.4293256,-66.1587965,13.59699,zona-escolar,0.82666016,1,539
1739886376422,-17.4293256,-66.1587965,13.59699,zona-escolar,0.7841797,1,522
1739886387376,-17.4292292,-66.1586002,2.082671,paso-peatonal,0.52734375,0,534
1739886396713,-17.4292607,-66.1577732,28.972803,pare,0.41308594,0,549
1739886460927,-17.4292332,-66.1560946,0.6589558,pare,0.40161133,0,610
1739886473322,-17.4291505,-66.1550652,26.502918,prohibido-girar-izquierda,0.3503418,0,622
1739886519218,-17.4288986,-66.1533127,11.435425,pare,0.38671875,0,602
1739886529848,-17.4288904,-66.1532336,0.49686885,prohibido-girar-izquierda,0.5234375,0,623
1739886531135,-17.4288904,-66.1532336,0.49686885,prohibido-girar-izquierda,0.86621094,1,613
1739886531688,-17.4288904,-66.1532336,0.49686885,prohibido-girar-izquierda,0.4416504,0,610
1739886532314,-17.4289133,-66.153157,0.82128024,prohibido-girar-izquierda,0.92871094,1,622
1739886532933,-17.4289133,-66.153157,0.82128024,prohibido-girar-izquierda,0.89404297,1,614
1739886585188,-17.4251182,-66.1542451,13.535586,prohibido-girar-izquierda,0.56591797,0,614
