epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.015,1.37884,4.09262,1.11533,0.75621,0.24142,0.26439,0.18179,1.00877,1.25205,0.93864,0.00332244,0.00332244,0.00332244
2,115.107,1.37703,2.75487,1.10683,0.5859,0.40776,0.36251,0.23666,1.17076,1.15347,0.99345,0.00663381,0.00663381,0.00663381
3,167.532,1.39253,2.26317,1.1343,0.51871,0.40361,0.44072,0.28625,1.25924,1.22259,1.08096,0.00992318,0.00992318,0.00992318
4,217.661,1.44546,1.788,1.18632,0.40618,0.50892,0.44028,0.30287,1.11707,1.14338,1.04089,0.009901,0.009901,0.009901
5,267.6,1.38759,1.36912,1.16885,0.43252,0.53576,0.48944,0.33915,1.07663,0.95747,1.00729,0.009868,0.009868,0.009868
6,321.214,1.35366,1.17967,1.16576,0.53911,0.50925,0.52534,0.35949,1.08927,0.94462,1.03484,0.009835,0.009835,0.009835
7,376.229,1.34239,1.08518,1.17126,0.53299,0.55263,0.51869,0.36955,1.03884,0.9435,1.00351,0.009802,0.009802,0.009802
8,432.989,1.31913,1.02119,1.15791,0.69134,0.57894,0.63797,0.44724,1.0373,0.822,1.00358,0.009769,0.009769,0.009769
9,484.195,1.29158,0.96809,1.13038,0.81604,0.54824,0.64588,0.4786,1.03575,0.7883,0.9904,0.009736,0.009736,0.009736
10,535.968,1.28362,0.92043,1.14881,0.66899,0.63927,0.63439,0.45602,0.98084,0.77172,0.97958,0.009703,0.009703,0.009703
11,588.669,1.27222,0.87344,1.14229,0.81025,0.6086,0.68892,0.50954,0.99964,0.77448,0.99033,0.00967,0.00967,0.00967
12,641.336,1.25539,0.85929,1.12107,0.71298,0.71385,0.72351,0.53163,0.95029,0.66539,0.96522,0.009637,0.009637,0.009637
