                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3561,                 4.3383,                 1.0879,                 1.4841,                 12.026,                 1.0102,                0.76662,                0.18266,                0.22303,                0.15694,                 1.1083,                 2.7346,                0.95507,                 1.1867,                 9.0052,                0.90069,             0.00017476,             0.00017476,             0.00017476
                      2,                 1.3133,                 2.5529,                 1.0919,                 1.4552,                 7.8763,                 1.0206,                0.62801,                0.35353,                0.37138,                 0.2566,                 1.0414,                 1.8455,                 0.9538,                 1.1516,                 5.3417,                0.92339,             0.00031543,             0.00031543,             0.00031543
                      3,                 1.2789,                 1.7954,                 1.0793,                 1.4119,                  4.649,                 1.0257,                0.54797,                0.39941,                0.44559,                0.31322,                0.97784,                 1.4217,                0.95191,                 1.1593,                 3.3281,                0.92208,             0.00042139,             0.00042139,             0.00042139
                      4,                 1.2294,                 1.3685,                 1.0532,                  1.367,                 2.9768,                 1.0147,                 0.7747,                0.41478,                0.53172,                0.38506,                 1.0224,                 1.1108,                0.94165,                 1.1237,                 2.1984,                0.91541,             0.00036978,             0.00036978,             0.00036978
                      5,                 1.2076,                 1.1285,                 1.0522,                 1.3375,                 2.1467,                 1.0155,                0.77905,                0.53565,                0.67679,                 0.4666,                  1.006,                0.93839,                0.93882,                 1.1186,                 1.6465,                0.92831,             0.00036978,             0.00036978,             0.00036978
                      6,                   1.17,                0.94817,                 1.0432,                 1.3018,                 1.6472,                 1.0121,                0.64949,                0.60608,                0.66912,                0.48002,                0.97088,                0.80724,                0.93971,                 1.0653,                 1.4051,                0.91465,              0.0003177,              0.0003177,              0.0003177
                      7,                  1.139,                0.84096,                 1.0312,                   1.27,                 1.3925,                 1.0031,                 0.7386,                0.58662,                0.68312,                0.51744,                0.91281,                0.73638,                0.91271,                 1.0225,                 1.1831,                 0.9073,             0.00026563,             0.00026563,             0.00026563
                      8,                 1.0947,                0.73527,                 1.0097,                  1.227,                 1.1996,                0.98778,                0.80464,                0.59244,                0.77105,                0.57506,                0.93643,                0.66691,                 0.9228,                 1.0634,                 1.0334,                 0.9125,             0.00021356,             0.00021356,             0.00021356
                      9,                 1.0567,                0.68507,                0.99681,                 1.1956,                 1.0706,                0.97981,                0.79749,                0.64206,                0.78804,                0.58776,                0.87542,                0.63265,                0.90204,                0.99275,                0.91309,                0.90375,             0.00016148,             0.00016148,             0.00016148
                     10,                 1.0201,                0.63709,                0.98172,                 1.1564,                0.98617,                0.96619,                0.85572,                 0.6797,                0.81111,                0.60554,                0.88955,                0.58812,                0.90569,                0.99448,                 0.8696,                0.89459,             0.00010941,             0.00010941,             0.00010941
                      1,                 1.2907,                 8.3054,                 1.2315,                 1.2707,                 37.337,                 1.1058,                0.85493,                0.21526,                0.28198,                 0.2017,                 1.0783,                 5.6673,                 1.0861,                  1.057,                 26.675,                0.99638,             0.00017476,             0.00017476,             0.00017476
                      1,                 1.3561,                 4.3383,                 1.0879,                 1.4841,                 12.026,                 1.0102,                0.76662,                0.18266,                0.22303,                0.15694,                 1.1083,                 2.7346,                0.95507,                 1.1867,                 9.0052,                0.90069,             0.00017476,             0.00017476,             0.00017476
                      2,                 1.3133,                 2.5529,                 1.0919,                 1.4552,                 7.8763,                 1.0206,                0.62801,                0.35353,                0.37138,                 0.2566,                 1.0414,                 1.8455,                 0.9538,                 1.1516,                 5.3417,                0.92339,             0.00031543,             0.00031543,             0.00031543
                      3,                 1.2789,                 1.7954,                 1.0793,                 1.4119,                  4.649,                 1.0257,                0.54797,                0.39941,                0.44559,                0.31322,                0.97784,                 1.4217,                0.95191,                 1.1593,                 3.3281,                0.92208,             0.00042139,             0.00042139,             0.00042139
                      4,                 1.2294,                 1.3685,                 1.0532,                  1.367,                 2.9768,                 1.0147,                 0.7747,                0.41478,                0.53172,                0.38506,                 1.0224,                 1.1108,                0.94165,                 1.1237,                 2.1984,                0.91541,             0.00036978,             0.00036978,             0.00036978
                      5,                 1.2076,                 1.1285,                 1.0522,                 1.3375,                 2.1467,                 1.0155,                0.77905,                0.53565,                0.67679,                 0.4666,                  1.006,                0.93839,                0.93882,                 1.1186,                 1.6465,                0.92831,             0.00036978,             0.00036978,             0.00036978
                      6,                   1.17,                0.94817,                 1.0432,                 1.3018,                 1.6472,                 1.0121,                0.64949,                0.60608,                0.66912,                0.48002,                0.97088,                0.80724,                0.93971,                 1.0653,                 1.4051,                0.91465,              0.0003177,              0.0003177,              0.0003177
                      7,                  1.139,                0.84096,                 1.0312,                   1.27,                 1.3925,                 1.0031,                 0.7386,                0.58662,                0.68312,                0.51744,                0.91281,                0.73638,                0.91271,                 1.0225,                 1.1831,                 0.9073,             0.00026563,             0.00026563,             0.00026563
                      8,                 1.0947,                0.73527,                 1.0097,                  1.227,                 1.1996,                0.98778,                0.80464,                0.59244,                0.77105,                0.57506,                0.93643,                0.66691,                 0.9228,                 1.0634,                 1.0334,                 0.9125,             0.00021356,             0.00021356,             0.00021356
                      9,                 1.0567,                0.68507,                0.99681,                 1.1956,                 1.0706,                0.97981,                0.79749,                0.64206,                0.78804,                0.58776,                0.87542,                0.63265,                0.90204,                0.99275,                0.91309,                0.90375,             0.00016148,             0.00016148,             0.00016148
                     10,                 1.0201,                0.63709,                0.98172,                 1.1564,                0.98617,                0.96619,                0.85572,                 0.6797,                0.81111,                0.60554,                0.88955,                0.58812,                0.90569,                0.99448,                 0.8696,                0.89459,             0.00010941,             0.00010941,             0.00010941
