                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.85249,                0.70745,                0.89022,                0.73809,                0.82969,                 0.7904,                0.60635,                0.91685,                0.68735,                 0.8951,             0.00046525,             0.00046525,             0.00046525
                     37,                0.81454,                0.66741,                  0.876,                0.83907,                0.63297,                 0.7493,                 0.5716,                0.88717,                0.60059,                0.90047,             0.00046351,             0.00046351,             0.00046351
                     38,                0.85827,                0.67699,                0.89246,                0.71907,                 0.7385,                0.80829,                 0.6018,                 0.8983,                0.60184,                0.90377,             0.00046178,             0.00046178,             0.00046178
                     39,                0.83869,                0.64376,                0.88925,                 0.7875,                0.79407,                0.83907,                0.62739,                0.89468,                0.58902,                0.89302,             0.00046004,             0.00046004,             0.00046004
                     40,                0.85508,                0.65834,                 0.8862,                0.78291,                0.77274,                0.81147,                0.60358,                 0.8925,                0.59132,                0.89158,              0.0004583,              0.0004583,              0.0004583
                     41,                0.82032,                0.63584,                0.88275,                0.81655,                0.77225,                0.82389,                0.63793,                0.88199,                0.60059,                0.89168,             0.00045657,             0.00045657,             0.00045657
                     42,                0.83347,                0.63694,                 0.8924,                0.72949,                0.81376,                 0.8592,                0.66479,                0.88733,                0.56742,                0.88956,             0.00045483,             0.00045483,             0.00045483
                     43,                0.80575,                0.62036,                0.87443,                0.77724,                0.73915,                0.78313,                0.61214,                0.90062,                0.63918,                 0.8993,              0.0004531,              0.0004531,              0.0004531
                     44,                0.82193,                0.61541,                0.88215,                0.74665,                0.77404,                0.83449,                 0.6612,                0.87743,                0.57205,                0.90114,             0.00045136,             0.00045136,             0.00045136
                     45,                0.80344,                0.58758,                0.87707,                0.77566,                0.79934,                 0.8225,                0.63326,                0.89753,                0.55793,                0.89595,             0.00044962,             0.00044962,             0.00044962
                     46,                0.79428,                0.59246,                0.87513,                0.75832,                0.77092,                0.81526,                0.63065,                0.86612,                0.58441,                0.88661,             0.00044789,             0.00044789,             0.00044789
                     47,                0.80629,                0.57968,                0.87177,                0.77642,                0.68687,                0.80688,                0.61941,                0.87355,                0.62728,                0.89353,             0.00044615,             0.00044615,             0.00044615
                     48,                0.84402,                0.60876,                0.88473,                 0.7894,                0.72743,                0.79579,                0.60816,                0.88514,                0.59126,                0.89812,             0.00044442,             0.00044442,             0.00044442
                     49,                0.81745,                0.59398,                0.88462,                0.78831,                0.74121,                0.79932,                0.61529,                0.86718,                0.57557,                0.89014,             0.00044268,             0.00044268,             0.00044268
                     50,                0.79956,                0.56937,                0.88694,                0.77088,                0.82692,                0.86033,                0.65094,                0.86789,                0.53059,                0.88543,             0.00044095,             0.00044095,             0.00044095
                     51,                0.80826,                0.57525,                0.88678,                0.74487,                0.78327,                0.83722,                0.63728,                0.87511,                0.56171,                0.88854,             0.00043921,             0.00043921,             0.00043921
                     52,                0.79562,                0.56214,                0.87393,                0.83065,                 0.8238,                0.87878,                0.66036,                0.87063,                0.53913,                0.88695,             0.00043747,             0.00043747,             0.00043747
                     53,                0.80353,                0.55808,                 0.8692,                0.86952,                0.84603,                0.91506,                0.69669,                 0.8687,                0.52492,                0.88981,             0.00043574,             0.00043574,             0.00043574
                     54,                 0.8012,                0.55367,                0.88183,                0.80439,                0.81264,                0.86804,                0.66042,                0.87782,                0.52859,                0.89029,               0.000434,               0.000434,               0.000434
