timestamp,latitud,longitud,velocidad,clase,probabilidad,sonido,tiempoInferencia
1741715274729,-17.4194732,-66.1576082,0,ceda-el-paso,0.7643728,1,432
1741715282793,-17.4198162,-66.1575752,14,zona-escolar,0.7955758,1,465
1741715288030,-17.4199958,-66.1575834,16,zona-escolar,0.7638583,1,468
1741715288030,-17.4199958,-66.1575834,16,zona-escolar,0.6223085,0,468
1741715311599,-17.4208162,-66.1577777,9,pare,0.77931964,1,452
1741715311599,-17.4208162,-66.1577777,9,zona-escolar,0.69067305,0,452
1741715319578,-17.4209793,-66.1578048,5,zona-escolar,0.8145498,1,455
1741715324780,-17.4211136,-66.1578211,11,zona-escolar,0.9008097,1,452
1741715467993,-17.4273347,-66.1591839,19,zona-escolar,0.7193521,1,455
1741715473349,-17.4275595,-66.1592049,15,zona-escolar,0.90119684,1,457
1741715478626,-17.4277153,-66.1592098,10,zona-escolar,0.90063506,1,460
1741715478626,-17.4277153,-66.1592098,10,zona-escolar,0.86801654,1,460
1741715483821,-17.4277012,-66.1592123,0,zona-escolar,0.8872864,1,451
1741715483821,-17.4277012,-66.1592123,0,zona-escolar,0.845359,1,451
1741715489029,-17.4276988,-66.1592196,0,zona-escolar,0.8955018,1,461
1741715489029,-17.4276988,-66.1592196,0,zona-escolar,0.83451676,1,461
1741715494180,-17.4277068,-66.1592258,0,zona-escolar,0.919244,1,451
1741715494180,-17.4277068,-66.1592258,0,zona-escolar,0.8806541,1,451
1741715508088,-17.4282539,-66.158959,23,zona-escolar,0.79611254,1,455
1741715519686,-17.429041,-66.1589225,23,pare,0.82418644,1,452
