timestamp,latitud,longitud,velocidad,clase,probabilidad,sonido,tiempoInferencia
1741637125536,-17.3733267,-66.1517881,31,prohibido-girar-izquierda,0.80719405,1,446
1741637130801,-17.3732937,-66.1514066,16,prohibido-girar-izquierda,0.950824,1,450
1741637169073,-17.3733804,-66.1502365,17,prohibido-girar-izquierda,0.7574015,1,455
1741637174224,-17.3733959,-66.1501081,8,prohibido-girar-derecha,0.8239568,1,444
1741637191776,-17.3742003,-66.1496818,31,prohibido-girar-izquierda,0.73738724,1,448
1741637196927,-17.3746301,-66.149662,27,prohibido-girar-u,0.9580816,1,453
1741637196927,-17.3746301,-66.149662,27,prohibido-girar-izquierda,0.65768695,0,453
1741637202540,-17.3748434,-66.149693,25,paso-peatonal,0.84713006,1,451
1741637233049,-17.3762169,-66.1497131,40,prohibido-girar-u,0.9157445,1,447
1741637255657,-17.3772747,-66.1503409,21,zona-escolar,0.75228703,1,443
1741637261341,-17.3772492,-66.1506958,21,prohibido-girar-izquierda,0.84310454,1,458
1741637287250,-17.3763287,-66.1511089,34,paso-peatonal,0.7609017,1,450
1741637350431,-17.3733644,-66.1502723,16,prohibido-girar-izquierda,0.74677014,1,457
1741637355648,-17.3733779,-66.150036,13,prohibido-girar-izquierda,0.87105703,1,453
1741637355648,-17.3733779,-66.150036,13,zona-escolar,0.527511,0,453
1741637373734,-17.3733586,-66.1498594,0,pare,0.7040361,1,447
1741637381749,-17.3733634,-66.1498422,0,pare,0.79203796,1,466
1741637413286,-17.3741221,-66.149697,29,prohibido-girar-izquierda,0.7920033,1,446
1741637418417,-17.3743832,-66.1496862,28,prohibido-girar-u,0.8024905,1,446
1741637423764,-17.3746986,-66.1496962,10,prohibido-girar-derecha,0.80880046,1,471
1741637429181,-17.3749112,-66.1497587,16,paso-peatonal,0.7681861,1,471
1741637447295,-17.3761419,-66.1497127,34,prohibido-girar-u,0.7742373,1,450
1741637475860,-17.3772896,-66.1504771,25,prohibido-girar-izquierda,0.7263849,1,446
1741637502227,-17.3763804,-66.1511032,30,paso-peatonal,0.7587339,1,451
1741637502227,-17.3763804,-66.1511032,30,paso-peatonal,0.6053916,0,451
1741637533424,-17.3736595,-66.1510562,24,zona-escolar,0.74480563,1,448
1741637583038,-17.3733634,-66.1501379,32,prohibido-girar-derecha,0.7097543,1,459
1741637636386,-17.3740246,-66.1496442,29,prohibido-girar-izquierda,0.74427664,1,447
1741637642006,-17.374457,-66.1496634,25,prohibido-girar-u,0.89285004,1,440
1741637647787,-17.3747826,-66.1497399,19,prohibido-girar-derecha,0.91038764,1,451
1741637665399,-17.3761662,-66.1497496,33,prohibido-girar-u,0.770344,1,453
1741637689457,-17.3772967,-66.15053,28,prohibido-girar-izquierda,0.8011217,1,492
1741637745689,-17.3745563,-66.1511419,26,pare,0.71603304,1,459
1741637751063,-17.3740545,-66.1511394,22,pare,0.7664815,1,456
1741637836954,-17.3730459,-66.1540601,29,zona-escolar,0.818118,1,451
1741637888720,-17.3729683,-66.1553929,31,prohibido-girar-izquierda,0.73341334,1,441
1741637920663,-17.3726284,-66.1569164,2,zona-escolar,0.715174,1,470
1741638093970,-17.3724637,-66.1635702,21,zona-escolar,0.778478,1,459
1741638151185,-17.3721938,-66.1666982,37,ceda-el-paso,0.7682174,1,456
1741638241127,-17.3718908,-66.1717698,0,pare,0.7143601,1,469
1741638258155,-17.3708511,-66.1717872,34,ceda-el-paso,0.7938029,1,449
1741638263358,-17.3704206,-66.1715769,28,prohibido-girar-izquierda,0.84294826,1,456
1741638271344,-17.3702625,-66.1714125,12,pare,0.86359847,1,472
1741638278587,-17.369952,-66.1711249,26,prohibido-girar-izquierda,0.8658898,1,453
1741638316596,-17.3694341,-66.1727088,24,zona-escolar,0.70893204,1,438
1741638343797,-17.3692541,-66.1740578,35,zona-escolar,0.7762315,1,467
1741638349063,-17.3692389,-66.1745951,22,zona-escolar,0.9253129,1,456
1741638422098,-17.3710587,-66.1757947,34,prohibido-girar-izquierda,0.7412734,1,463
1741638427509,-17.3712905,-66.1758032,10,prohibido-girar-izquierda,0.9525202,1,502
1741638427509,-17.3712905,-66.1758032,10,prohibido-girar-izquierda,0.8026491,1,502
1741638434523,-17.3713443,-66.1757776,3,pare,0.7367885,1,474
1741638439977,-17.3713335,-66.1757566,0,pare,0.76704407,1,457
1741638446731,-17.3713401,-66.1757504,0,pare,0.7234931,1,459
1741638454917,-17.3713468,-66.1757608,0,pare,0.8062215,1,461
1741638460330,-17.3713516,-66.1757608,0,prohibido-girar-izquierda,0.86953825,1,446
1741638468674,-17.3719181,-66.1757761,30,pare,0.74676096,1,454
1741638478453,-17.3729106,-66.1758142,43,ceda-el-paso,0.7566486,1,442
1741638486405,-17.3734962,-66.1758382,46,pare,0.77917117,1,442
1741638503791,-17.3759873,-66.1759221,49,prohibido-girar-izquierda,0.90687335,1,447
1741638519646,-17.3773957,-66.1760541,28,prohibido-girar-izquierda,0.74300253,1,449
1741638528671,-17.3778146,-66.1760975,25,pare,0.7401978,1,459
1741638539944,-17.3789067,-66.1761675,43,pare,0.82046163,1,458
1741638649622,-17.3854488,-66.1776544,21,zona-escolar,0.8058522,1,445
1741638658578,-17.3861498,-66.1780406,42,zona-escolar,0.8166033,1,464
1741638756727,-17.3888419,-66.1792711,36,limite-velocidad-35,0.82267606,1,449
1741638818916,-17.3960661,-66.1815909,30,prohibido-girar-izquierda,0.90903926,1,453
1741638832380,-17.3968905,-66.1818453,30,zona-escolar,0.79335415,1,447
1741638837576,-17.3972789,-66.1819461,24,zona-escolar,0.93157136,1,445
1741638837576,-17.3972789,-66.1819461,24,zona-escolar,0.8943343,1,445
1741638845127,-17.3975162,-66.1819817,2,zona-escolar,0.72864157,1,466
1741638850164,-17.3974815,-66.1819786,1,zona-escolar,0.7522479,1,448
1741638855381,-17.3975602,-66.1819904,13,zona-escolar,0.7356361,1,452
1741638865674,-17.3980146,-66.1821477,20,prohibido-girar-derecha,0.94134915,1,450
1741638904330,-17.4003849,-66.1827531,26,pare,0.70831174,1,449
1741638909486,-17.4006619,-66.1828321,11,pare,0.94366825,1,461
1741638927413,-17.401248,-66.1830926,15,prohibido-girar-derecha,0.8501827,1,449
1741638932663,-17.4013826,-66.1829563,22,limite-velocidad-35,0.78714967,1,440
