                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.279,                 7.1916,                 1.1239,                0.63496,                0.35974,                0.36563,                0.27681,                0.93236,                 1.1346,                0.94783,              0.0033224,              0.0033224,              0.0033224
                      2,                 1.2651,                 4.0898,                 1.1123,                0.61612,                0.42303,                0.40831,                0.29207,                 1.0364,                 1.2737,                0.99033,              0.0066338,              0.0066338,              0.0066338
                      3,                 1.2907,                 2.1915,                 1.1389,                 0.4599,                0.40177,                0.40817,                0.28788,                 1.0038,                 1.1061,                0.98929,              0.0099232,              0.0099232,              0.0099232
                      4,                 1.3491,                 1.5332,                 1.1739,                 0.5747,                0.48853,                0.45923,                0.32383,                 1.0467,                 1.0284,                 1.0181,               0.009901,               0.009901,               0.009901
                      5,                 1.3259,                  1.222,                 1.1867,                0.56526,                 0.5842,                0.56927,                0.40842,                 1.0405,                0.87554,                 1.0099,               0.009868,               0.009868,               0.009868
                      6,                 1.3013,                 1.0833,                 1.1826,                0.52323,                0.65826,                 0.6166,                0.43425,                 1.0432,                0.80332,                 1.0275,               0.009835,               0.009835,               0.009835
                      7,                  1.256,                0.99085,                  1.162,                0.56396,                0.65348,                0.63379,                0.45752,                0.98855,                0.72878,                 1.0076,               0.009802,               0.009802,               0.009802
                      8,                 1.2432,                 0.9483,                 1.1461,                0.70166,                0.61155,                0.64934,                0.48006,                0.97843,                0.80383,                 1.0013,               0.009769,               0.009769,               0.009769
                      9,                 1.2196,                0.89345,                 1.1502,                0.87697,                0.55698,                0.65505,                0.49608,                0.97667,                0.70389,                 1.0013,               0.009736,               0.009736,               0.009736
                     10,                 1.2044,                0.84329,                 1.1418,                0.65844,                 0.6472,                0.71184,                0.50404,                0.96882,                0.66356,                0.99445,               0.009703,               0.009703,               0.009703
                     11,                 1.1857,                0.82237,                  1.128,                0.70982,                0.75294,                0.72208,                0.51947,                0.97707,                 0.6212,                 1.0011,                0.00967,                0.00967,                0.00967
                     12,                  1.187,                0.78335,                 1.1283,                0.75042,                0.74449,                0.80531,                0.59061,                 1.0038,                0.62212,                 1.0036,               0.009637,               0.009637,               0.009637
                     13,                 1.1627,                0.76096,                 1.1162,                0.77323,                0.74528,                0.80046,                0.59642,                0.96425,                0.63633,                 1.0005,               0.009604,               0.009604,               0.009604
                     14,                 1.1506,                0.73987,                 1.1279,                0.67562,                0.72071,                 0.7346,                0.54894,                0.96397,                0.62265,                0.99499,               0.009571,               0.009571,               0.009571
                     15,                 1.1506,                0.72692,                 1.1207,                0.66258,                0.78984,                 0.8031,                0.59646,                 0.9485,                0.58404,                  0.996,               0.009538,               0.009538,               0.009538
                     16,                 1.1391,                0.71067,                 1.1207,                 0.8703,                0.73022,                0.82366,                 0.6288,                0.93169,                0.54828,                0.99008,               0.009505,               0.009505,               0.009505
                     17,                 1.1419,                0.68879,                 1.1198,                0.89379,                0.77169,                0.84664,                0.66595,                0.96443,                0.57878,                 1.0042,               0.009472,               0.009472,               0.009472
                     18,                 1.1287,                0.68099,                 1.1132,                0.66184,                0.86694,                0.84766,                0.64311,                0.96298,                0.54738,                0.99476,               0.009439,               0.009439,               0.009439
                     19,                 1.1069,                0.67644,                 1.0954,                0.93139,                0.79439,                0.89579,                0.67256,                 0.9559,                0.51984,                0.98239,               0.009406,               0.009406,               0.009406
                     20,                 1.1199,                0.65652,                 1.1139,                0.79752,                0.80598,                0.85199,                0.66526,                0.91368,                0.53447,                0.98038,               0.009373,               0.009373,               0.009373
                     21,                 1.1056,                 0.6355,                 1.0953,                0.77267,                0.81195,                0.87239,                0.66932,                0.90283,                 0.5061,                0.97677,                0.00934,                0.00934,                0.00934
                     22,                 1.0857,                 0.6425,                 1.0852,                0.83021,                 0.8343,                0.87435,                0.67791,                0.90461,                0.52061,                0.96926,               0.009307,               0.009307,               0.009307
                     23,                 1.0993,                0.64664,                 1.0953,                0.86438,                0.79939,                0.88308,                0.65651,                0.99013,                0.52887,                0.99391,               0.009274,               0.009274,               0.009274
                     24,                 1.0799,                0.62391,                  1.084,                 0.9111,                0.72122,                0.85603,                0.66556,                0.91688,                0.51965,                0.98013,               0.009241,               0.009241,               0.009241
                     25,                 1.0897,                0.63146,                 1.0924,                0.87317,                0.80861,                0.88822,                0.68887,                0.91799,                0.48198,                0.97355,               0.009208,               0.009208,               0.009208
                     26,                 1.0846,                0.61818,                 1.0889,                0.84479,                0.83323,                0.87119,                0.69017,                 0.9189,                 0.5022,                0.98133,               0.009175,               0.009175,               0.009175
                     27,                 1.0675,                0.59982,                 1.0788,                0.83654,                 0.7961,                0.85672,                0.67062,                0.88757,                0.50447,                0.95441,               0.009142,               0.009142,               0.009142
                     28,                 1.0598,                0.59702,                 1.0756,                0.93151,                   0.78,                0.89251,                0.68345,                0.92669,                0.50474,                 0.9655,               0.009109,               0.009109,               0.009109
                     29,                 1.0526,                0.59398,                 1.0741,                0.88221,                0.83089,                0.88177,                0.69248,                0.91372,                0.50759,                0.97597,               0.009076,               0.009076,               0.009076
                     30,                 1.0484,                0.58443,                  1.067,                0.77828,                0.92004,                0.90563,                 0.6955,                0.93857,                 0.4709,                0.97106,               0.009043,               0.009043,               0.009043
                     31,                 1.0354,                0.57687,                 1.0639,                0.89307,                0.86381,                0.91582,                0.71452,                0.90373,                0.47745,                 0.9718,                0.00901,                0.00901,                0.00901
                     32,                 1.0292,                0.57207,                 1.0703,                0.95967,                0.79914,                0.87274,                0.69235,                0.88964,                0.46949,                0.97065,               0.008977,               0.008977,               0.008977
                     33,                 1.0427,                0.56778,                  1.063,                0.84944,                0.79061,                0.87142,                0.67012,                0.91722,                0.49732,                0.97024,               0.008944,               0.008944,               0.008944
                     34,                 1.0362,                0.56633,                 1.0738,                 0.9221,                0.80912,                0.95013,                0.70212,                0.93637,                0.46484,                0.98179,               0.008911,               0.008911,               0.008911
                     35,                 1.0318,                0.56162,                 1.0617,                0.94552,                0.83278,                0.91058,                0.68715,                0.91575,                0.49433,                0.96967,               0.008878,               0.008878,               0.008878
                     36,                 1.0102,                 0.5579,                 1.0517,                0.70028,                0.86877,                0.89466,                0.68467,                0.91472,                0.47867,                0.97324,               0.008845,               0.008845,               0.008845
                     37,                 1.0137,                0.55764,                 1.0587,                0.90206,                0.87326,                 0.9437,                0.71955,                0.88557,                0.46102,                0.96483,               0.008812,               0.008812,               0.008812
                     38,                 1.0065,                0.54132,                 1.0597,                0.79615,                0.93896,                0.94182,                0.70226,                0.92242,                0.45813,                0.97152,               0.008779,               0.008779,               0.008779
                     39,                0.99915,                0.54739,                 1.0529,                0.82488,                0.87421,                0.90374,                0.68965,                0.91677,                0.46802,                0.96494,               0.008746,               0.008746,               0.008746
                     40,                 1.0027,                0.53983,                  1.053,                 0.8169,                0.93934,                0.95138,                 0.7243,                0.89238,                0.44497,                0.96439,               0.008713,               0.008713,               0.008713
                     41,                0.99182,                0.54159,                 1.0514,                0.75478,                0.88338,                0.91358,                0.68464,                0.93868,                0.44894,                0.97654,                0.00868,                0.00868,                0.00868
                     42,                0.98761,                0.53142,                 1.0449,                0.81195,                0.88822,                0.91688,                0.71143,                0.90134,                 0.4455,                0.96206,               0.008647,               0.008647,               0.008647
                     43,                0.98042,                0.52667,                 1.0426,                 0.8297,                0.91378,                0.93471,                0.71431,                0.87197,                0.41714,                0.95162,               0.008614,               0.008614,               0.008614
                     44,                0.96879,                 0.5278,                 1.0417,                0.87673,                0.85817,                 0.9191,                0.73819,                0.88547,                 0.4286,                0.95561,               0.008581,               0.008581,               0.008581
                     45,                0.97579,                0.52628,                 1.0423,                0.78577,                0.87488,                0.92836,                0.71174,                0.90809,                0.45662,                0.96605,               0.008548,               0.008548,               0.008548
                     46,                  0.979,                0.52473,                 1.0402,                0.81135,                0.89801,                0.91284,                0.71546,                0.89769,                0.44537,                0.95965,               0.008515,               0.008515,               0.008515
                     47,                0.96575,                0.51939,                 1.0392,                0.90173,                0.85044,                0.91006,                0.69901,                0.89859,                0.43675,                0.96072,               0.008482,               0.008482,               0.008482
                     48,                0.95697,                0.50499,                 1.0263,                0.79342,                0.92482,                0.90888,                0.70401,                0.91621,                 0.4515,                0.96549,               0.008449,               0.008449,               0.008449
                     49,                0.96327,                0.51535,                  1.044,                0.76268,                  0.901,                0.88952,                0.70468,                0.91145,                0.43936,                0.97516,               0.008416,               0.008416,               0.008416
                     50,                0.94419,                0.50778,                 1.0298,                 0.9227,                0.80946,                0.91163,                0.70212,                0.90355,                0.42214,                0.97191,               0.008383,               0.008383,               0.008383
                     51,                0.94841,                  0.508,                 1.0334,                0.77421,                 0.9103,                  0.926,                0.70996,                 0.9097,                0.45557,                0.97332,                0.00835,                0.00835,                0.00835
                     52,                0.95097,                0.50251,                 1.0333,                0.73257,                0.93475,                0.90665,                0.72617,                0.90336,                0.44834,                  0.966,               0.008317,               0.008317,               0.008317
                     53,                0.92448,                0.49209,                  1.019,                0.85321,                0.87706,                0.92873,                0.71355,                0.88893,                0.42242,                0.96104,               0.008284,               0.008284,               0.008284
                     54,                0.93142,                0.49376,                 1.0143,                0.92363,                0.86002,                0.92485,                0.72294,                0.89864,                0.40948,                0.96873,               0.008251,               0.008251,               0.008251
                     55,                0.92237,                0.48541,                 1.0196,                0.81384,                0.87841,                0.90223,                0.70534,                0.92343,                0.42535,                 0.9708,               0.008218,               0.008218,               0.008218
                     56,                0.92666,                0.49523,                 1.0102,                0.91015,                0.83284,                0.90887,                0.71245,                0.90528,                0.42623,                0.96347,               0.008185,               0.008185,               0.008185
                     57,                0.93404,                0.49333,                 1.0203,                0.78641,                0.90038,                 0.8792,                0.67773,                0.89923,                 0.4175,                 0.9629,               0.008152,               0.008152,               0.008152
                     58,                0.92545,                0.48892,                  1.026,                0.85242,                 0.8945,                 0.9244,                0.70309,                0.91762,                0.42354,                0.97108,               0.008119,               0.008119,               0.008119
                     59,                0.91718,                0.48702,                 1.0144,                0.83178,                0.88737,                0.90882,                0.70981,                0.90255,                 0.4308,                0.96929,               0.008086,               0.008086,               0.008086
                     60,                0.92253,                0.49304,                 1.0074,                0.81095,                0.94579,                0.94297,                0.72423,                0.88341,                0.40212,                0.95099,               0.008053,               0.008053,               0.008053
                     61,                0.90594,                0.47983,                 1.0078,                0.81982,                0.89943,                0.91858,                0.70716,                0.91806,                0.42112,                0.97034,                0.00802,                0.00802,                0.00802
