                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   1.17,                 5.8592,                 1.0074,                 1.3208,                 13.683,                0.95921,                0.00373,                0.15467,                0.00446,                0.00368,                 1.1268,                 5.9147,                 0.8773,                 1.1773,                  13.23,                0.83948,              0.0001315,              0.0001315,              0.0001315
                      2,                 1.1621,                 4.2839,                0.97699,                 1.2685,                 11.795,                0.90232,                0.00356,                0.25055,                0.02564,                0.01878,                 1.0968,                 5.6895,                0.90459,                 1.0996,                 12.792,                0.84662,              0.0002417,              0.0002417,              0.0002417
                      3,                 1.1087,                 3.4284,                0.98345,                 1.2733,                 10.655,                0.92597,                0.00534,                0.29996,                0.08993,                0.06139,                 1.0978,                 5.3353,                0.91088,                 1.1365,                 12.169,                0.85361,             0.00032483,             0.00032483,             0.00032483
                      4,                 1.0584,                 3.0387,                0.96361,                 1.2249,                 9.9801,                0.91124,                0.97643,                0.03617,                0.13132,                0.09165,                 1.1373,                 4.5871,                0.94562,                 1.1348,                 11.119,                0.87257,             0.00036978,             0.00036978,             0.00036978
                      5,                  1.056,                 2.7443,                0.97435,                 1.2389,                 9.1259,                0.93269,                0.86265,                  0.075,                0.23844,                0.16776,                 1.0486,                 3.4847,                0.94382,                 1.1713,                 9.6235,                0.89601,             0.00036978,             0.00036978,             0.00036978
                      6,                0.99623,                 2.5366,                0.95154,                 1.2396,                 8.5605,                0.92742,                0.83227,                 0.1652,                0.27594,                0.19409,                  1.046,                 2.9186,                0.95809,                 1.2054,                 8.6073,                0.90358,              0.0003177,              0.0003177,              0.0003177
                      7,                0.98666,                 2.3044,                0.96349,                 1.1714,                 7.8117,                0.92389,                0.78155,                0.24237,                0.34885,                0.23895,                0.97669,                 2.3354,                0.93364,                 1.1707,                 7.6271,                 0.9102,             0.00026563,             0.00026563,             0.00026563
                      8,                0.93183,                 2.1261,                0.93593,                 1.1568,                 7.4363,                0.91212,                0.81867,                0.26417,                0.43371,                0.32253,                0.94739,                 2.0604,                0.92535,                 1.1028,                 6.9941,                0.88887,             0.00021356,             0.00021356,             0.00021356
                      9,                0.91601,                 2.0055,                0.92348,                 1.1258,                 6.9734,                0.90938,                0.79669,                0.26241,                0.38698,                0.27376,                0.96377,                 2.0118,                0.92661,                 1.0865,                 6.7638,                0.88836,             0.00016148,             0.00016148,             0.00016148
                     10,                0.89109,                 1.8748,                0.90676,                 1.0805,                 6.7302,                0.89689,                0.68048,                0.32915,                0.42861,                0.30542,                0.93253,                 1.9693,                0.91624,                 1.0323,                 6.5901,                0.88646,             0.00010941,             0.00010941,             0.00010941
