                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0582,                0.60342,                0.99558,                0.87484,                0.86139,                0.90177,                0.67009,                0.92374,                0.50618,                0.91658,               0.008845,               0.008845,               0.008845
                     37,                  1.069,                 0.5992,                0.99541,                0.88499,                 0.7062,                0.82904,                0.60853,                0.90437,                0.51244,                 0.9089,               0.008812,               0.008812,               0.008812
                     38,                  1.063,                0.58177,                0.99811,                 0.9141,                0.78934,                0.88457,                0.66951,                0.89293,                0.48472,                0.91589,               0.008779,               0.008779,               0.008779
                     39,                 1.0567,                 0.5794,                0.99605,                0.87356,                0.80025,                0.87034,                 0.6434,                0.89384,                 0.4714,                0.91041,               0.008746,               0.008746,               0.008746
                     40,                 1.0568,                0.57824,                0.99254,                0.87835,                0.88618,                0.91605,                0.68338,                0.88164,                0.49231,                0.90098,               0.008713,               0.008713,               0.008713
                     41,                 1.0573,                0.58492,                 1.0004,                0.83417,                0.94359,                0.93667,                0.69718,                 0.8926,                0.45625,                0.90418,                0.00868,                0.00868,                0.00868
                     42,                 1.0392,                0.55928,                0.98664,                0.74596,                0.89463,                0.89206,                0.64933,                0.90545,                0.47051,                 0.9127,               0.008647,               0.008647,               0.008647
                     43,                 1.0252,                0.56133,                0.98239,                0.84845,                0.89153,                0.91578,                 0.6932,                0.92031,                0.47569,                0.91298,               0.008614,               0.008614,               0.008614
                     44,                 1.0226,                0.56302,                0.98626,                0.78061,                0.95943,                0.94558,                0.70244,                0.89707,                0.45705,                0.91134,               0.008581,               0.008581,               0.008581
                     45,                 1.0379,                0.55677,                0.98242,                0.80168,                0.85394,                0.87299,                0.67978,                 0.8648,                0.43873,                0.90361,               0.008548,               0.008548,               0.008548
                     46,                 1.0246,                0.55251,                0.98341,                0.87929,                0.90894,                0.91721,                 0.6879,                0.93261,                0.46316,                0.91443,               0.008515,               0.008515,               0.008515
                     47,                 1.0237,                0.55128,                0.98621,                0.80179,                0.86863,                0.91056,                0.66732,                0.88426,                0.46815,                0.90871,               0.008482,               0.008482,               0.008482
                     48,                 1.0276,                0.54763,                0.97957,                0.91141,                0.81361,                0.88654,                0.67586,                0.90131,                0.47005,                0.91008,               0.008449,               0.008449,               0.008449
                     49,                  1.025,                0.55209,                0.98962,                0.94455,                0.84767,                0.93583,                0.71776,                0.88576,                0.43421,                0.91359,               0.008416,               0.008416,               0.008416
                     50,                 1.0064,                0.54883,                 0.9713,                0.82742,                0.90212,                0.92385,                0.71318,                0.88367,                0.43138,                0.90729,               0.008383,               0.008383,               0.008383
                     51,                 1.0176,                0.54414,                0.98104,                0.94334,                0.80496,                0.88999,                0.67612,                0.86585,                0.44715,                0.90056,                0.00835,                0.00835,                0.00835
                     52,                 1.0188,                0.54649,                 0.9812,                0.85739,                0.92418,                0.90069,                0.69613,                0.87474,                0.44773,                0.90463,               0.008317,               0.008317,               0.008317
                     53,                 1.0026,                0.53203,                0.97025,                0.94833,                0.84679,                0.91203,                0.70655,                0.87994,                0.43942,                0.90326,               0.008284,               0.008284,               0.008284
                     54,                 1.0018,                0.53518,                0.95944,                0.92825,                0.85039,                0.91886,                0.69866,                0.88477,                0.42546,                 0.9015,               0.008251,               0.008251,               0.008251
                     55,                0.98338,                0.52408,                 0.9719,                0.82684,                0.87044,                0.92747,                0.70975,                0.87886,                0.43732,                0.90226,               0.008218,               0.008218,               0.008218
                     56,                0.98486,                0.52545,                0.96447,                0.76286,                0.87946,                0.90278,                0.67959,                0.89258,                0.47667,                0.91077,               0.008185,               0.008185,               0.008185
                     57,                0.99416,                0.53007,                0.97407,                0.90163,                0.87916,                 0.8861,                0.66938,                0.88326,                0.42895,                0.90994,               0.008152,               0.008152,               0.008152
                     58,                0.98543,                0.52762,                0.97858,                0.87064,                0.95351,                0.93585,                0.69302,                 0.8859,                0.43166,                0.90748,               0.008119,               0.008119,               0.008119
                     59,                0.98558,                 0.5199,                0.97263,                0.82685,                0.88934,                0.89196,                0.68976,                0.86302,                0.42528,                0.90114,               0.008086,               0.008086,               0.008086
                     60,                0.98028,                0.53354,                0.95778,                0.90046,                0.91507,                0.93409,                0.67649,                0.88611,                0.43595,                0.90632,               0.008053,               0.008053,               0.008053
                     61,                0.97795,                0.52405,                0.96293,                0.85771,                0.89177,                 0.9508,                0.70223,                 0.9231,                0.44489,                0.91637,                0.00802,                0.00802,                0.00802
                     62,                0.97027,                0.51587,                0.96665,                 0.8677,                0.87913,                0.92527,                0.71006,                  0.868,                0.43035,                0.89823,               0.007987,               0.007987,               0.007987
                     63,                0.97671,                0.51846,                0.96381,                 0.8746,                0.91287,                0.93921,                0.68486,                0.89066,                0.42821,                 0.9065,               0.007954,               0.007954,               0.007954
                     64,                0.95763,                0.51263,                0.95692,                0.85877,                0.87961,                0.92257,                0.70598,                0.88514,                0.43836,                0.90897,               0.007921,               0.007921,               0.007921
                     65,                0.95964,                0.50986,                0.95947,                0.88922,                0.88161,                0.93583,                0.67735,                0.91518,                 0.4364,                0.91465,               0.007888,               0.007888,               0.007888
                     66,                0.96709,                0.51775,                0.96577,                0.85999,                 0.9143,                 0.9227,                 0.7037,                0.86961,                0.42243,                 0.9063,               0.007855,               0.007855,               0.007855
                     67,                0.96069,                0.51026,                0.96242,                  0.907,                0.88548,                0.91037,                0.69689,                0.87682,                0.44018,                0.90666,               0.007822,               0.007822,               0.007822
                     68,                0.95726,                0.50177,                0.95751,                 0.8899,                0.91544,                0.92648,                0.69465,                0.88203,                0.44363,                 0.9107,               0.007789,               0.007789,               0.007789
                     69,                 0.9571,                0.50065,                0.95487,                0.83583,                0.95863,                0.91163,                0.69278,                0.87531,                0.43687,                0.89905,               0.007756,               0.007756,               0.007756
